src_type,src_id,dst_type,dst_id,edge_type
value_node,1110,value_node,1110,selfLoop
attribute_node,224,attribute_node,224,selfLoop
value_node,537,value_node,537,selfLoop
value_node,269,value_node,269,selfLoop
class_node,517,class_node,517,selfLoop
type_node,381,type_node,381,selfLoop
value_node,820,value_node,820,selfLoop
class_node,438,class_node,438,selfLoop
class_node,295,class_node,295,selfLoop
class_node,468,class_node,468,selfLoop
class_node,732,class_node,732,selfLoop
value_node,519,value_node,519,selfLoop
attribute_node,109,attribute_node,109,selfLoop
value_node,387,value_node,387,selfLoop
attribute_node,596,attribute_node,596,selfLoop
value_node,321,value_node,321,selfLoop
attribute_node,209,attribute_node,209,selfLoop
class_node,522,class_node,522,selfLoop
type_node,119,type_node,119,selfLoop
type_node,322,type_node,322,selfLoop
type_node,171,type_node,171,selfLoop
value_node,614,value_node,614,selfLoop
attribute_node,697,attribute_node,697,selfLoop
class_node,59,class_node,59,selfLoop
attribute_node,274,attribute_node,274,selfLoop
attribute_node,837,attribute_node,837,selfLoop
type_node,382,type_node,382,selfLoop
class_node,456,class_node,456,selfLoop
class_node,339,class_node,339,selfLoop
class_node,523,class_node,523,selfLoop
type_node,125,type_node,125,selfLoop
class_node,723,class_node,723,selfLoop
value_node,379,value_node,379,selfLoop
attribute_node,166,attribute_node,166,selfLoop
attribute_node,293,attribute_node,293,selfLoop
value_node,748,value_node,748,selfLoop
attribute_node,819,attribute_node,819,selfLoop
value_node,72,value_node,72,selfLoop
type_node,325,type_node,325,selfLoop
attribute_node,246,attribute_node,246,selfLoop
value_node,801,value_node,801,selfLoop
value_node,1053,value_node,1053,selfLoop
type_node,155,type_node,155,selfLoop
attribute_node,202,attribute_node,202,selfLoop
value_node,1007,value_node,1007,selfLoop
value_node,1047,value_node,1047,selfLoop
class_node,515,class_node,515,selfLoop
value_node,889,value_node,889,selfLoop
value_node,209,value_node,209,selfLoop
value_node,1186,value_node,1186,selfLoop
attribute_node,537,attribute_node,537,selfLoop
attribute_node,513,attribute_node,513,selfLoop
type_node,271,type_node,271,selfLoop
class_node,449,class_node,449,selfLoop
value_node,280,value_node,280,selfLoop
class_node,68,class_node,68,selfLoop
value_node,675,value_node,675,selfLoop
value_node,122,value_node,122,selfLoop
value_node,372,value_node,372,selfLoop
value_node,979,value_node,979,selfLoop
attribute_node,385,attribute_node,385,selfLoop
class_node,679,class_node,679,selfLoop
class_node,331,class_node,331,selfLoop
value_node,1019,value_node,1019,selfLoop
class_node,340,class_node,340,selfLoop
type_node,11,type_node,11,selfLoop
type_node,175,type_node,175,selfLoop
attribute_node,286,attribute_node,286,selfLoop
attribute_node,99,attribute_node,99,selfLoop
attribute_node,590,attribute_node,590,selfLoop
class_node,280,class_node,280,selfLoop
type_node,57,type_node,57,selfLoop
value_node,423,value_node,423,selfLoop
value_node,1169,value_node,1169,selfLoop
class_node,681,class_node,681,selfLoop
class_node,563,class_node,563,selfLoop
attribute_node,338,attribute_node,338,selfLoop
value_node,154,value_node,154,selfLoop
type_node,316,type_node,316,selfLoop
value_node,259,value_node,259,selfLoop
value_node,832,value_node,832,selfLoop
attribute_node,541,attribute_node,541,selfLoop
value_node,20,value_node,20,selfLoop
value_node,329,value_node,329,selfLoop
value_node,813,value_node,813,selfLoop
value_node,384,value_node,384,selfLoop
value_node,488,value_node,488,selfLoop
class_node,628,class_node,628,selfLoop
attribute_node,712,attribute_node,712,selfLoop
class_node,105,class_node,105,selfLoop
value_node,1119,value_node,1119,selfLoop
attribute_node,374,attribute_node,374,selfLoop
attribute_node,582,attribute_node,582,selfLoop
type_node,21,type_node,21,selfLoop
type_node,290,type_node,290,selfLoop
class_node,164,class_node,164,selfLoop
attribute_node,347,attribute_node,347,selfLoop
value_node,136,value_node,136,selfLoop
value_node,79,value_node,79,selfLoop
value_node,530,value_node,530,selfLoop
type_node,221,type_node,221,selfLoop
attribute_node,126,attribute_node,126,selfLoop
type_node,397,type_node,397,selfLoop
value_node,361,value_node,361,selfLoop
class_node,594,class_node,594,selfLoop
class_node,662,class_node,662,selfLoop
class_node,473,class_node,473,selfLoop
value_node,715,value_node,715,selfLoop
attribute_node,843,attribute_node,843,selfLoop
attribute_node,153,attribute_node,153,selfLoop
attribute_node,850,attribute_node,850,selfLoop
value_node,73,value_node,73,selfLoop
type_node,23,type_node,23,selfLoop
value_node,16,value_node,16,selfLoop
type_node,75,type_node,75,selfLoop
attribute_node,652,attribute_node,652,selfLoop
attribute_node,130,attribute_node,130,selfLoop
value_node,453,value_node,453,selfLoop
value_node,688,value_node,688,selfLoop
value_node,47,value_node,47,selfLoop
attribute_node,661,attribute_node,661,selfLoop
type_node,206,type_node,206,selfLoop
value_node,356,value_node,356,selfLoop
value_node,357,value_node,357,selfLoop
value_node,652,value_node,652,selfLoop
type_node,230,type_node,230,selfLoop
value_node,217,value_node,217,selfLoop
attribute_node,460,attribute_node,460,selfLoop
value_node,8,value_node,8,selfLoop
attribute_node,482,attribute_node,482,selfLoop
value_node,452,value_node,452,selfLoop
class_node,518,class_node,518,selfLoop
attribute_node,311,attribute_node,311,selfLoop
class_node,144,class_node,144,selfLoop
class_node,728,class_node,728,selfLoop
type_node,352,type_node,352,selfLoop
value_node,858,value_node,858,selfLoop
class_node,548,class_node,548,selfLoop
value_node,25,value_node,25,selfLoop
value_node,982,value_node,982,selfLoop
type_node,73,type_node,73,selfLoop
attribute_node,95,attribute_node,95,selfLoop
class_node,94,class_node,94,selfLoop
class_node,155,class_node,155,selfLoop
attribute_node,96,attribute_node,96,selfLoop
class_node,238,class_node,238,selfLoop
attribute_node,86,attribute_node,86,selfLoop
class_node,146,class_node,146,selfLoop
class_node,158,class_node,158,selfLoop
class_node,660,class_node,660,selfLoop
class_node,726,class_node,726,selfLoop
value_node,257,value_node,257,selfLoop
value_node,342,value_node,342,selfLoop
value_node,882,value_node,882,selfLoop
attribute_node,698,attribute_node,698,selfLoop
value_node,966,value_node,966,selfLoop
class_node,674,class_node,674,selfLoop
class_node,151,class_node,151,selfLoop
value_node,141,value_node,141,selfLoop
value_node,547,value_node,547,selfLoop
value_node,784,value_node,784,selfLoop
type_node,58,type_node,58,selfLoop
attribute_node,25,attribute_node,25,selfLoop
attribute_node,211,attribute_node,211,selfLoop
attribute_node,312,attribute_node,312,selfLoop
value_node,234,value_node,234,selfLoop
value_node,59,value_node,59,selfLoop
type_node,304,type_node,304,selfLoop
attribute_node,135,attribute_node,135,selfLoop
value_node,646,value_node,646,selfLoop
attribute_node,299,attribute_node,299,selfLoop
attribute_node,249,attribute_node,249,selfLoop
value_node,198,value_node,198,selfLoop
value_node,1179,value_node,1179,selfLoop
class_node,758,class_node,758,selfLoop
value_node,494,value_node,494,selfLoop
type_node,60,type_node,60,selfLoop
class_node,529,class_node,529,selfLoop
value_node,1183,value_node,1183,selfLoop
value_node,220,value_node,220,selfLoop
value_node,662,value_node,662,selfLoop
attribute_node,314,attribute_node,314,selfLoop
value_node,839,value_node,839,selfLoop
attribute_node,267,attribute_node,267,selfLoop
class_node,569,class_node,569,selfLoop
class_node,237,class_node,237,selfLoop
attribute_node,138,attribute_node,138,selfLoop
attribute_node,221,attribute_node,221,selfLoop
value_node,947,value_node,947,selfLoop
value_node,725,value_node,725,selfLoop
attribute_node,0,attribute_node,0,selfLoop
class_node,611,class_node,611,selfLoop
value_node,1094,value_node,1094,selfLoop
class_node,350,class_node,350,selfLoop
class_node,640,class_node,640,selfLoop
value_node,55,value_node,55,selfLoop
type_node,391,type_node,391,selfLoop
type_node,172,type_node,172,selfLoop
